distribution,tau,mismatch,c,r,r2
gaussian,1.0,1.6,0.6657910609548021,1.1906310306874592,1.4176022512358815
gaussian,1.0,1.7000000000000002,0.6701158121175088,1.2628998230399024,1.594915963034217
gaussian,1.0,1.8,0.6746170320455163,1.3366112989994097,1.7865297646128893
gaussian,1.0,1.9000000000000001,0.6792700059922782,1.411713966033162,1.9929363218930793
gaussian,1.0,2.0,0.6840496641754414,1.4881568584294764,2.2146108352906886
gaussian,1.0,2.1,0.6889311310326912,1.5658883364237572,2.452006282147962
gaussian,1.0,2.2,0.6938902051345375,1.6448555498009076,2.705549779710846
gaussian,1.0,2.3000000000000003,0.698903758782478,1.7250043638656043,2.9756400553553783
gaussian,1.0,2.4000000000000004,0.7039500525933319,1.806279588782573,3.2626459528525413
gaussian,1.0,2.5,0.7090089658001703,1.8886253893034346,3.56690586112155
gaussian,1.0,2.6,0.7140621473369362,1.97198578232303,3.8887279256841727
gaussian,1.0,2.7,0.7190930959000651,2.056305155285957,4.228390891655604
gaussian,1.0,2.8000000000000003,0.724087179110681,2.1415287595806007,4.586145428110826
gaussian,1.0,2.9000000000000004,0.7290316027580727,2.227603150010849,4.962215793938256
gaussian,1.0,3.0,0.7339153410898233,2.3144765546228654,5.35680172189893
gaussian,1.0,3.1,0.7387290383901176,2.4020991684948747,5.770080415283768
gaussian,1.0,3.2,0.7434648911244225,2.490423373119195,6.202208577378388
gaussian,1.0,3.3000000000000003,0.7481165183538722,2.5794038854906476,6.65332440448425
gaussian,1.0,3.4000000000000004,0.752678826944253,2.6689978455575405,7.123549499590792
gaussian,1.0,3.5,0.7571478765861872,2.7591648507500337,7.612990673614456
gaussian,1.0,3.6,0.7615207484377969,2.8498669469125266,8.121741615104526
gaussian,1.0,3.7,0.7657954201050816,2.9410685845020987,8.649884418745179
gaussian,1.0,3.8000000000000003,0.7699706487631087,3.0327365481156923,9.197490970276684
gaussian,1.0,3.9000000000000004,0.7740458634848467,3.124839866413136,9.764624190724867
gaussian,1.0,4.0,0.7780210672703941,3.2173497084435723,10.351339146421939
gaussian,1.0,4.1000000000000005,0.7818967488378608,3.3102392713483586,10.957684033576912
gaussian,1.0,4.2,0.7856738039258606,3.40348366345678,11.583701047417186
gaussian,1.0,4.3,0.7893534656443799,3.4970597859401553,12.229427146439805
gaussian,1.0,4.4,0.7929372432751922,3.5909462154560345,12.894894722298018
gaussian,1.0,4.5,0.7964268688470667,3.685123089596457,13.580132185476936
gaussian,1.0,4.6000000000000005,0.7998242507795199,3.779571996444942,14.285164476310804
gaussian,1.0,4.7,0.8031314338894536,3.874275869135209,15.010013510163379
gaussian,1.0,4.800000000000001,0.8063505650777852,3.969218885977677,15.754698564801872
gaussian,1.0,4.9,0.8094838640504581,4.064386376464774,16.519236617192455
gaussian,1.0,5.0,0.8125335984742085,4.159764733271114,17.303642636166103
gaussian,1.0,5.1000000000000005,0.8155020630178735,4.255341330218532,18.107929836666028
gaussian,1.0,5.2,0.8183915617817977,4.351104446069752,18.932109900607966
gaussian,1.0,5.300000000000001,0.821204393668833,4.447043193939336,19.776193168762166
gaussian,1.0,5.4,0.8239428402992007,4.543147456060499,20.640188807508984
gaussian,1.0,5.5,0.826609156117129,4.63940782361511,21.524104953821087
gaussian,1.0,5.6000000000000005,0.8292055603792751,4.7358155413176695,22.42794884138597
gaussian,1.0,5.7,0.8317342307532399,4.832362456438268,23.351726910394095
gaussian,1.0,5.800000000000001,0.8341972982890135,4.929040971951914,24.29544490318067
gaussian,1.0,5.9,0.8365968435570335,5.025844003509481,25.259107947612208
gaussian,1.0,6.0,0.8389348937739476,5.122764939937556,26.242720629853434
gaussian,1.0,6.1000000000000005,0.8412134207613592,5.2197976069889105,27.246287057927155
gaussian,1.0,6.2,0.8434343396040964,5.316936234081355,28.269810917287224
gaussian,1.0,6.300000000000001,0.8455995078931635,5.414175423779575,29.31329551945874
gaussian,1.0,6.4,0.8477107254547647,5.511510123791415,30.376743844655255
gaussian,1.0,6.5,0.8497697344809316,5.608935601266991,31.460158579160296
gaussian,1.0,6.6000000000000005,0.8517782199895318,5.706447419205114,32.563542148152706
gaussian,1.0,6.7,0.8537378105520564,5.804041414787072,33.68689674456352
gaussian,1.0,6.800000000000001,0.8556500792367565,5.901713679472602,34.83022435447403
gaussian,1.0,6.9,0.8575165447226107,5.999460540706545,35.99352677949487
gaussian,1.0,7.0,0.8593386725464118,6.097278545097652,37.17680565650814
gaussian,1.0,7.1000000000000005,0.8611178764511314,6.195164442942905,38.38006247510407
gaussian,1.0,7.2,0.8628555198087355,6.293115173981706,39.6032985929988
gaussian,1.0,7.300000000000001,0.8645529170949587,6.391127854274568,40.84651524968425
gaussian,1.0,7.4,0.8662113353972144,6.489199764110034,42.10971357852572
gaussian,1.0,7.5,0.8678319959399944,6.587328336852307,43.39289461749738
gaussian,1.0,7.6000000000000005,0.8694160756148054,6.685511148649726,44.69605931871978
